Comment,Designator,Footprint,LCSC
"100n","C1,C2,C3,C4,C5,C6,C7,C14,C18,C20,C34","Capacitor_SMD:C_0402_1005Metric","C1525"
"100n 50V","C9,C10,C11,C12,C13,C22,C23,C24,C25,C26,C27,C28","Capacitor_SMD:C_0603_1608Metric","C14663"
"10u 25V","C8,C15,C16,C21,C29,C30,C33","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u 50V","C17,C31,C32","Capacitor_SMD:C_1206_3216Metric","C13585"
"1n","C19","Capacitor_SMD:C_0402_1005Metric","C1523"
"SS34","D1,D2","Diode_SMD:D_SMA","C8678"
"MountingHole_Pad","H1","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"UDN298LW","IC12,IC13,IC14","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","C699444"
"74595D","IC7,IC11,IC16,IC17,IC18,IC20,IC21,IC22","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","C273642"
"ULN2003AD","IC4,IC6,IC8,IC9,IC10","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","C126289"
"USB_C","J1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"Barrel_Jack_Switch","J2","Connector_BarrelJack:BarrelJack_Horizontal",""
"Conn_01x03","J3,J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x04","J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"PINHD-2X30","JP2","cflipclock_rev_a:2X30",""
"4u7","L1,L2","Inductor_SMD:L_1210_3225Metric","C86070"
"LED","LED1,LED2","LED_SMD:LED_0603_1608Metric","C2286"
"UMH3N","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C62892"
"5k1","R1,R2","Resistor_SMD:R_0402_1005Metric","C25905"
"1k","R10,R11,R12,R24,R25","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R13,R14,R15,R19,R20,R26","Resistor_SMD:R_0402_1005Metric","C25744"
"470R","R16,R27,R28","Resistor_SMD:R_0402_1005Metric","C25117"
"110k","R22","Resistor_SMD:R_0402_1005Metric","C25745"
"15k","R23","Resistor_SMD:R_0402_1005Metric","C25756"
"100k","R3,R8,R21","Resistor_SMD:R_0402_1005Metric","C25741"
"3k3","R4,R5,R17,R18","Resistor_SMD:R_0402_1005Metric","C25890"
"0R","R6,R7","Resistor_SMD:R_0402_1005Metric","C17168"
"22k","R9","Resistor_SMD:R_0402_1005Metric","C25768"
"SW_Push","SW1","Button_Switch_SMD:SW_SPST_PTS810",""
"ESP32-WROOM-32D","U1","RF_Module:ESP32-WROOM-32",""
"FUSB302BMPX","U2","Package_DFN_QFN:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm","C442699"
"USBLC6-4SC6","U3","Package_TO_SOT_SMD:SOT-23-6","C435848"
"SY8201","U4,U6","Package_TO_SOT_SMD:SOT-23-6","C108052"
"CP2104","U5","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C47742"
"BSP742R","U7","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C111024"
